X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,Y
7,3159,4308,6,0,3,0,NaN,0,15302,2783,20,2,170,3,8,20,15302,6,5942,92,19,NaN,0,44,NaN,34,100,5,97,0,37,4123,17,0,0,0,108,NaN,21631,196,80,7,3,880,6,0,126000,3,29,0,3405,7,686,0,0,52,6,382527,335,0,46146,42,-4675,545,597,718,64,45,6,0,0,1
9,2035,165,8,0,20000,0,NaN,0,21500,1575,12,2,159,4,9,12,21500,8,3610,91,16,NaN,12,56,NaN,52,100,1,115,0,21,466,6,0,0,0,63,NaN,31613,166,34,10,1,237,6,0,190000,NaN,24,0,9047,10,23,0,0,147,3,391320,102,0,35033,75,956,135,75,27,108,1327,6,0,0,0
1,384,248,4,NaN,1000,0,NaN,0,6670,269,20,2,140,2,7,20,4193,4,932,79,5,NaN,1,16,NaN,27,94,1,29,NaN,33,882,3,NaN,NaN,0,36,NaN,6672,40,15,4,0,69,3,0,37800,NaN,49,NaN,1145,4,28,0,NaN,84,4,65190,36,1,5797,61,600,33,886,41,69,30,5,NaN,NaN,0
10,540,42,7,0,10000,0,NaN,1,9850,217,8,0,136,NaN,NaN,0,9850,7,757,77,NaN,NaN,NaN,7,NaN,NaN,16,7,NaN,0,5,1944,NaN,0,0,4,35,NaN,10187,46,NaN,10,1,14,3,1,43000,NaN,98,0,8600,10,5,0,0,190,7,127452,4,0,2666,25,0,10,25,7,168,1,6,0,0,0
5,355,27,2,NaN,10000,0,NaN,0,15200,334,4,2,124,0,10,4,15200,2,691,72,NaN,NaN,NaN,0,NaN,38,90,1,41,NaN,13,773,NaN,NaN,NaN,1,34,NaN,15726,43,27,3,1,NaN,5,0,69000,NaN,61,NaN,5307,3,2,0,NaN,NaN,2,47475,NaN,NaN,0,265,1071,NaN,265,6,68,13,5,NaN,NaN,0
2,1297,282,3,NaN,13000,0,NaN,1,10800,852,20,2,181,4,11,20,12800,4,2149,92,4,NaN,0,28,NaN,55,39,1,63,NaN,8,756,4,NaN,NaN,1,65,NaN,10800,69,104,3,2,310,1,1,90000,1,18,NaN,11250,4,99,0,NaN,68,1,131618,113,0,21138,731,2977,197,731,47,61,151,5,NaN,NaN,0
6,280,8945,30,0,3000,0,NaN,2,5820,84,20,0,104,3,10,20,5820,34,364,79,NaN,NaN,NaN,4,NaN,48,38,8,70,0,21,197,NaN,0,0,2,34,NaN,6789,72,50,47,1,33,4,2,73000,NaN,48,0,3476,59,438,0,0,55,11,23025,10,0,1822,177,-4008,23,177,1490,63,287,6,0,0,1
1,425,62,6,0,NaN,0,NaN,1,18990,535,13,0,161,NaN,9,13,34140,10,960,84,NaN,NaN,NaN,13,NaN,72,20,2,59,0,0,662,NaN,0,0,1,15,NaN,30925,50,NaN,8,1,142,5,1,NaN,NaN,45,0,NaN,23,9,1,0,96,3,79495,72,1,13678,186,2099,70,186,10,82,1056,6,0,0,0
9,820,169,20,NaN,10000,0,NaN,2,23330,258,7,1,175,5,4,7,29405,40,1078,88,44,NaN,225,51,NaN,73,49,7,172,NaN,13,819,21,NaN,NaN,4,67,NaN,28870,204,59,99,2,325,5,3,128000,NaN,28,NaN,9846,166,35,0,NaN,195,13,170017,72,0,63620,751,9061,253,751,28,157,731,5,NaN,NaN,1
0,756,45,1,0,20000,0,NaN,1,13400,855,11,0,179,4,17,11,13400,8,1611,89,NaN,NaN,NaN,28,NaN,55,30,1,37,0,11,7316,NaN,0,0,1,59,NaN,20369,51,48,1,1,207,4,1,128000,NaN,33,0,11636,9,11,1,0,101,1,175352,82,0,21025,182,2279,125,182,7,108,135,6,0,0,0
2,711,107,2,0,100,0,NaN,1,16805,646,13,0,150,4,10,12,16805,10,1357,86,NaN,NaN,NaN,21,NaN,49,24,2,83,0,31,0,NaN,0,0,1,29,NaN,8458,90,115,2,0,142,5,1,108400,NaN,15,0,3496,27,2,0,0,107,2,99198,81,1,15325,334,0,61,334,17,73,517,6,0,0,1
5,2529,610,8,0,19960,0,NaN,1,21880,2497,10,3,171,4,18,4,21880,10,5026,92,9,NaN,28,116,NaN,100,72,5,282,0,18,9497,7,0,0,4,226,NaN,23230,208,49,24,3,691,1,1,135000,8,16,0,7500,39,100,0,0,52,6,327394,302,0,36520,415,2955,389,415,101,65,698,6,0,0,0
5,2564,5355,12,0,-6300,0,NaN,3,19258,1681,20,3,169,4,12,20,19330,13,4245,92,21,NaN,141,107,NaN,59,74,4,247,0,26,4393,6,0,0,4,123,NaN,18787,193,92,34,2,320,2,3,74000,8,15,0,2846,36,697,0,0,46,9,260006,98,0,14965,362,9175,222,362,892,61,800,6,0,0,0
7,26,137,1,0,2988,NaN,314572,1,2030,91,28,0,26,1,NaN,28,855,1,117,14,NaN,NaN,NaN,0,NaN,NaN,13,1,NaN,1216716,5,500,NaN,1048576,448102,1,2,454860,2508,3,NaN,1,2,11,3,1,13973,NaN,NaN,0,2794,1,22,3,865075,134,1,7894,8,2,1480,1,3083,3,163,27,67,NaN,4,0,0,0
8,594,1632,2,0,4990,0,NaN,0,10120,399,28,2,134,3,13,28,10120,3,993,83,6,NaN,0,22,NaN,48,39,0,33,0,16,1865,0,0,0,0,75,NaN,17499,51,84,2,1,115,2,0,82000,6,23,0,5125,4,77,0,0,54,0,78791,44,0,6288,322,3161,71,322,272,79,396,6,0,0,0
NaN,775,10223,29,0,10000,0,NaN,1,14232,674,9,1,165,4,NaN,9,14232,32,1449,91,NaN,NaN,NaN,32,NaN,NaN,73,17,NaN,0,38,1970,NaN,0,0,8,54,NaN,30078,48,125,66,2,157,4,1,182000,NaN,39,0,4789,80,1409,0,0,44,25,85199,72,0,7034,249,3283,85,249,1703,58,153,6,0,0,0
2,912,406,14,0,5000,0,NaN,3,157,594,15,0,150,3,7,15,157,14,1653,89,14,NaN,86,8,NaN,58,16,8,207,0,31,1140,10,0,0,6,40,NaN,24695,166,90,40,1,14,3,5,155000,8,39,0,5000,43,1,0,0,107,11,112734,5,0,1504,249,10001,9,249,67,68,22,6,0,0,0
5,567,2155,NaN,0,2000,NaN,NaN,NaN,14513,875,9,3,137,3,NaN,9,14513,NaN,1442,87,NaN,NaN,NaN,20,NaN,NaN,100,NaN,NaN,0,34,1270,NaN,0,0,NaN,104,NaN,21738,75,68,NaN,2,202,6,NaN,141000,NaN,NaN,0,4147,NaN,938,1,0,67,NaN,109149,95,0,13644,NaN,8792,107,NaN,359,75,NaN,6,0,0,1
5,787,7712,14,0,2994,0,NaN,4,5292,43,9,3,143,4,17,9,5292,20,830,90,49,NaN,88,29,NaN,89,95,11,236,0,25,730,26,0,0,10,82,NaN,8691,182,92,52,2,172,2,8,54000,19,31,0,2160,72,1067,0,0,32,13,36801,8,0,5599,712,2897,164,712,1285,44,971,6,0,0,1
8,1383,54,2,0,3000,0,NaN,0,14342,577,17,0,169,3,9,17,14342,18,1960,86,NaN,NaN,NaN,33,NaN,66,20,0,93,0,23,5173,NaN,0,0,0,30,NaN,17275,104,42,4,1,242,3,0,94000,NaN,15,0,4086,39,12,0,0,57,1,156293,63,0,13844,203,368,179,203,9,79,292,6,0,0,1
NaN,739,54,8,0,1200,0,NaN,1,14432,622,NaN,0,NaN,3,NaN,NaN,14432,9,1361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,6,NaN,0,25,2718,NaN,0,0,2,NaN,NaN,14165,NaN,50,12,NaN,274,2,1,91400,NaN,60,0,3656,13,11,0,0,34,8,60115,96,0,9561,114,5094,178,114,9,44,1,6,0,0,0
0,559,3872,7,0,5000,0,NaN,3,19955,1204,9,0,171,3,16,9,19955,9,1763,91,NaN,NaN,NaN,17,NaN,93,10,5,22,0,46,399,NaN,0,0,5,64,NaN,21193,109,52,7,3,299,2,3,130000,NaN,5,0,2826,9,1358,2,0,55,7,151413,140,0,16576,370,2028,159,370,645,85,272,6,0,0,1
6,608,95,9,NaN,10000,0,NaN,4,17913,453,17,1,172,5,11,0,26980,10,1061,88,NaN,NaN,NaN,35,NaN,NaN,58,8,17,NaN,29,742,NaN,NaN,NaN,4,34,NaN,41053,65,66,10,2,269,4,4,256000,NaN,24,NaN,8827,13,71,0,NaN,116,9,125305,125,0,31375,486,NaN,144,486,19,118,183,5,NaN,NaN,0
11,1340,65,2,NaN,3000,0,NaN,0,7530,966,20,0,158,2,7,3,3202,2,2306,90,NaN,NaN,NaN,32,NaN,60,10,0,24,NaN,15,500,NaN,NaN,NaN,0,72,NaN,7846,92,7,2,2,123,3,0,41000,NaN,21,NaN,2733,2,5,0,NaN,104,2,207350,39,0,12844,47,2248,84,47,10,89,69,5,NaN,NaN,1
11,677,3981,10,0,20000,0,NaN,2,22849,381,2,2,167,5,14,2,22849,13,1058,92,28,NaN,31,49,NaN,83,87,3,160,0,16,6278,27,0,0,3,110,NaN,24963,123,178,22,2,200,3,2,137000,2,20,0,8562,26,605,0,0,44,5,84694,70,0,8990,686,9987,130,686,663,80,1939,6,0,0,0
4,1834,7582,26,0,1000,0,NaN,1,15980,2026,16,3,153,4,9,20,15980,30,3863,90,44,NaN,0,49,NaN,33,100,4,102,0,36,1102,26,0,0,1,150,NaN,24978,188,19,38,2,196,4,1,152000,1,16,0,4222,49,386,1,0,37,21,200977,105,1,7412,119,7383,91,119,1263,52,685,6,0,0,1
4,839,256,3,0,1000,0,NaN,1,0,836,18,3,177,5,15,18,9163,4,1675,91,2,NaN,2,48,NaN,90,45,1,98,0,13,3816,0,0,0,1,37,NaN,26375,80,62,5,1,306,1,1,165000,7,25,0,12692,10,15,0,0,148,3,290992,154,1,45375,308,47849,152,308,42,173,183,6,0,0,0
2,425,57,0,NaN,5000,0,NaN,0,5560,132,16,2,137,3,8,16,5390,7,561,75,11,NaN,2,24,NaN,45,100,0,55,NaN,13,775,8,NaN,NaN,0,74,NaN,7574,49,25,0,1,67,4,0,42000,2,26,NaN,3230,11,26,0,NaN,117,0,59326,5,0,7841,196,586,62,196,11,105,1506,5,NaN,NaN,1
5,474,39,17,0,0,0,NaN,4,14134,454,24,0,180,NaN,9,31,14134,17,928,91,NaN,NaN,NaN,21,NaN,NaN,26,12,21,0,17,3739,NaN,0,0,10,37,NaN,12076,39,28,37,1,127,4,7,180800,NaN,43,0,10635,39,6,0,0,46,17,60611,62,0,5892,170,94000,65,170,6,65,25,6,0,0,0
3,1759,638,26,0,4000,0,NaN,3,16960,393,18,3,176,5,18,18,0,36,2152,90,72,NaN,97,43,NaN,93,100,8,199,0,7,6070,33,0,0,5,105,NaN,17268,118,78,72,2,687,3,4,59000,0,6,0,8428,97,151,0,0,75,16,139439,129,0,51592,1004,23650,558,1004,106,64,3914,5,0,0,0
9,1152,1792,14,0,4990,0,NaN,1,15760,1653,21,2,162,3,12,21,15760,18,2805,91,14,NaN,2,36,NaN,50,100,6,61,0,45,2608,5,0,0,1,75,NaN,19188,64,62,16,2,221,3,1,106134,NaN,31,0,2358,22,43,1,0,33,10,103822,121,1,7341,137,1190,100,137,298,37,434,6,0,0,1
2,3388,5589,10,0,33855,0,NaN,2,35256,2875,28,2,176,5,18,28,35256,18,6263,92,54,NaN,13,228,NaN,62,92,6,409,0,6,1735,34,0,0,3,455,NaN,35856,339,175,11,4,921,2,2,195719,6,6,0,32619,28,883,0,0,114,7,661717,368,0,105089,1024,53147,553,1024,931,105,2646,6,0,0,0
NaN,1116,150,NaN,NaN,20000,NaN,NaN,NaN,9990,611,NaN,0,NaN,3,NaN,NaN,29020,NaN,1727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,NaN,NaN,NaN,14,699,NaN,NaN,NaN,NaN,NaN,NaN,9990,NaN,14,NaN,NaN,141,3,NaN,117000,NaN,NaN,NaN,8357,NaN,44,0,NaN,94,NaN,184882,40,0,13381,NaN,3038,101,NaN,30,107,NaN,5,NaN,NaN,1
11,519,683,10,0,10000,0,NaN,1,19820,323,28,2,158,3,10,28,19810,15,842,84,2,NaN,0,13,NaN,49,100,2,57,0,14,2429,1,0,0,2,85,NaN,19855,73,25,12,1,83,3,1,120000,NaN,30,0,8571,18,58,0,0,52,5,51717,27,0,4352,317,1862,56,337,113,61,245,6,0,0,0
2,732,5121,NaN,0,10,NaN,NaN,NaN,19240,912,20,3,176,4,10,20,19240,NaN,1644,87,NaN,NaN,NaN,34,NaN,NaN,100,NaN,65,0,21,1316,NaN,0,0,NaN,59,NaN,19163,53,29,NaN,1,277,5,NaN,111000,NaN,NaN,0,5285,NaN,590,1,0,48,NaN,97390,159,1,13507,NaN,-7614,118,NaN,853,59,NaN,6,0,0,1
0,996,77,2,NaN,5000,0,NaN,0,16110,641,16,2,171,5,5,16,16110,4,1637,89,0,NaN,15,40,NaN,73,100,0,79,NaN,11,731,0,NaN,NaN,0,94,NaN,17118,92,69,3,1,99,2,0,78100,NaN,31,NaN,7100,6,3,0,NaN,116,2,119542,15,0,11509,351,-10835,84,351,15,73,764,5,NaN,NaN,0
10,1115,1090,4,0,5000,0,NaN,0,0,2210,3,2,171,3,NaN,18,2641,4,3326,92,NaN,NaN,NaN,29,NaN,NaN,100,0,NaN,0,23,1184,NaN,0,0,0,50,NaN,18736,53,11,4,2,327,2,0,88000,NaN,28,0,3826,4,107,1,0,67,4,267497,225,2,21927,57,6538,102,57,181,80,300,6,0,0,0
0,459,810,16,0,4990,0,NaN,2,1800,151,4,2,144,0,11,4,1800,21,610,84,29,NaN,12,24,NaN,67,84,4,99,0,8,484,20,0,0,2,19,NaN,3526,94,33,36,1,52,2,2,16000,7,35,0,2000,45,50,0,0,33,15,28906,1,0,1740,929,-320,51,929,135,47,320,6,0,0,0
0,693,2621,6,0,1,0,NaN,2,4790,621,20,0,141,3,12,20,4790,13,1314,89,NaN,NaN,NaN,9,NaN,51,20,3,27,0,26,100,NaN,0,0,2,41,NaN,10026,49,54,12,1,60,5,2,62000,NaN,22,0,2384,26,97,0,0,35,4,63359,31,1,2130,324,708,29,324,436,48,729,6,0,0,0
2,318,570,2,0,5000,0,NaN,0,24850,1397,11,2,164,5,13,11,24850,2,1715,85,1,NaN,26,13,NaN,15,100,0,71,0,26,2170,0,0,0,0,45,NaN,29457,38,38,2,1,222,3,0,172000,NaN,6,0,6615,2,52,4,0,92,1,155646,198,8,20642,849,-24407,24,849,95,90,2863,6,0,0,0
6,452,89,2,0,10000,0,NaN,0,0,449,18,2,155,2,NaN,18,0,5,908,85,NaN,NaN,NaN,19,NaN,NaN,100,0,NaN,0,15,2112,NaN,0,0,0,29,NaN,10119,54,19,2,1,59,5,0,102000,NaN,36,0,6800,6,8,0,0,37,0,54566,35,1,2201,555,12202,24,555,14,60,13,6,0,0,1
3,465,379,NaN,0,4500,NaN,NaN,NaN,27989,586,18,2,156,5,NaN,18,NaN,NaN,1052,90,NaN,NaN,NaN,3,NaN,NaN,100,NaN,NaN,0,30,5067,NaN,0,0,NaN,39,NaN,20684,34,41,NaN,1,17,3,NaN,105000,NaN,NaN,0,3500,NaN,17,1,0,105,NaN,85997,11,1,1796,NaN,1401,6,NaN,63,81,NaN,4,0,0,0
NaN,509,1028,8,0,9980,0,NaN,0,17428,739,22,2,128,5,NaN,22,17428,8,1248,79,NaN,NaN,NaN,19,NaN,NaN,100,7,NaN,0,65,NaN,NaN,0,0,4,35,NaN,30716,62,20,9,2,64,6,0,183200,NaN,47,0,2818,10,80,1,0,48,8,46188,30,0,3075,101,NaN,34,101,171,37,1,6,0,0,1
4,942,197,2,0,4,0,NaN,1,5210,890,15,2,163,3,9,15,5210,2,1832,91,8,NaN,0,9,NaN,39,100,2,59,0,47,0,8,0,0,2,63,NaN,8408,191,6,2,3,333,2,1,48100,3,100,0,1023,2,39,0,0,41,2,133814,69,0,13835,10,133,264,10,32,73,0,6,0,0,1
3,3970,71,7,0,10000,0,NaN,1,220,3841,3,2,184,NaN,12,3,220,8,7826,92,13,NaN,2,106,NaN,70,80,5,151,0,37,2418,12,0,0,2,178,NaN,19568,238,NaN,14,3,979,2,1,324700,9,14,0,8775,15,17,0,0,53,7,478046,449,0,52084,419,NaN,518,829,11,61,527,6,0,0,0
4,245,147,2,NaN,NaN,1,NaN,2,6120,595,8,2,152,1,10,8,5447,2,840,86,NaN,NaN,NaN,3,0,22,100,2,5,0,0,249,NaN,NaN,0,2,31,0,4672,19,8,2,1,157,4,2,NaN,NaN,82,0,NaN,2,26,2,NaN,92,2,72575,118,3,14583,8,6637,39,422,24,86,5,5,0,NaN,1
NaN,992,1233,6,0,1500,0,NaN,1,10934,612,10,NaN,166,NaN,NaN,10,10934,6,1604,92,NaN,NaN,NaN,36,NaN,NaN,NaN,4,NaN,0,61,930,NaN,0,0,2,77,NaN,26231,71,25,7,1,169,NaN,1,172400,NaN,22,0,2826,7,182,0,0,73,5,126762,41,0,12483,519,8633,128,519,205,79,61,6,0,0,1
0,349,161,6,NaN,10000,0,NaN,0,7760,458,5,2,146,4,12,5,2597,8,809,84,NaN,NaN,NaN,10,NaN,24,100,1,16,NaN,19,783,NaN,NaN,NaN,0,16,NaN,7996,29,21,10,0,68,5,0,48500,NaN,44,NaN,2552,17,4,1,NaN,47,2,93132,28,0,3212,220,6458,40,220,26,115,85,5,NaN,NaN,0
10,493,73,10,0,9980,0,NaN,0,3780,458,16,3,154,4,10,16,5100,10,951,85,1,NaN,5,22,NaN,61,91,8,58,0,18,3386,1,0,0,7,28,NaN,10981,46,94,17,2,42,1,0,85000,NaN,9,0,4722,17,4,0,0,77,9,61892,8,0,3249,950,5032,34,950,14,65,1107,6,0,0,0
5,354,7308,NaN,0,5000,NaN,NaN,NaN,23259,448,9,3,157,3,NaN,9,13932,NaN,802,77,NaN,NaN,NaN,9,NaN,NaN,100,NaN,NaN,0,38,2389,NaN,0,0,NaN,29,NaN,35027,22,168,NaN,2,104,7,NaN,212000,NaN,NaN,0,5578,NaN,1597,1,0,41,NaN,94507,45,0,4318,NaN,1627,59,NaN,1218,117,NaN,6,0,0,0
6,426,29,11,0,10,0,NaN,0,388,286,16,0,141,NaN,9,16,388,11,716,87,NaN,NaN,NaN,3,NaN,NaN,26,2,42,0,61,3958,NaN,0,0,2,16,NaN,11829,43,29,18,1,8,4,0,151000,NaN,42,0,2475,18,9,0,0,22,8,46812,5,1,183,78,3813,3,78,7,65,12,6,0,0,0
10,1261,227,7,NaN,NaN,0,NaN,4,0,1150,8,0,166,4,17,14,19030,7,2411,89,NaN,NaN,NaN,50,0,69,10,4,47,0,0,802,NaN,NaN,0,4,75,0,0,101,31,10,3,193,2,5,NaN,NaN,12,0,NaN,16,3,0,NaN,132,5,278328,67,0,25577,366,19935,126,366,37,115,1060,5,0,NaN,0
3,1184,301,6,0,3000,0,NaN,0,0,1097,17,2,171,3,14,18,0,9,2281,92,NaN,NaN,NaN,30,NaN,70,96,2,201,0,10,999,NaN,0,0,0,135,NaN,8064,358,32,6,3,444,2,0,68500,NaN,22,0,6850,10,99,0,0,55,6,175838,37,0,24488,191,639,407,191,50,77,121,6,0,0,1
3,263,72,5,NaN,5000,0,NaN,1,6340,382,11,2,141,2,10,2,NaN,5,645,85,4,NaN,5,12,NaN,65,100,3,39,NaN,5,795,4,NaN,NaN,1,50,NaN,7520,42,7,7,1,26,5,2,38000,NaN,48,NaN,7600,7,1,1,NaN,135,4,216913,7,0,3528,71,4497,19,737,14,336,158,5,NaN,NaN,0
11,187,1228,NaN,0,4990,NaN,NaN,NaN,30829,195,22,2,104,4,NaN,22,NaN,NaN,382,49,NaN,NaN,NaN,15,NaN,NaN,85,NaN,NaN,0,71,2683,NaN,0,0,NaN,12,NaN,21724,26,15,NaN,0,86,3,NaN,106000,NaN,NaN,0,1492,NaN,453,1,0,89,NaN,48537,56,1,7704,NaN,NaN,30,NaN,307,127,NaN,4,0,0,1
4,318,1242,4,0,10,0,NaN,1,21240,415,13,0,64,0,5,13,21240,9,733,64,NaN,NaN,NaN,8,NaN,27,20,3,16,0,35,0,NaN,0,0,2,42,NaN,37932,33,2,8,4,424,5,1,123000,NaN,10,0,3514,21,667,1,0,146,4,105700,219,1,62015,522,13203,205,522,414,144,649,3,0,0,1
10,253,2,4,0,20000,0,NaN,0,5951,208,9,2,148,NaN,11,9,5951,4,461,84,0,NaN,1,8,NaN,72,53,4,38,0,11,1806,0,0,0,2,12,NaN,16329,27,NaN,4,1,40,2,0,231100,5,48,0,21009,4,2,0,0,100,4,42275,10,0,4014,298,0,30,298,2,91,437,6,0,0,0
8,1266,83,13,NaN,50000,0,NaN,1,35899,551,18,2,164,5,17,18,35800,33,1817,91,20,NaN,58,60,NaN,93,100,1,205,NaN,12,796,1,NaN,NaN,1,49,NaN,32887,200,46,21,1,143,5,1,220000,NaN,29,NaN,18333,69,20,0,NaN,56,4,146447,17,0,8096,475,45388,126,819,13,80,2064,5,NaN,NaN,0
11,1256,11561,17,0,10000,0,NaN,0,7910,504,9,2,160,3,10,9,6160,22,1760,92,37,NaN,64,60,NaN,90,100,5,385,0,69,577,31,0,0,0,68,NaN,20146,211,66,41,3,273,4,0,134500,NaN,17,0,1949,67,1431,0,0,39,15,78581,51,0,10658,892,9727,222,892,1651,44,1597,6,0,0,0
3,980,264,NaN,0,3000,NaN,NaN,NaN,10380,1325,20,2,166,NaN,6,20,10380,NaN,2305,89,11,NaN,0,36,NaN,9,85,NaN,17,0,30,NaN,6,0,0,NaN,138,NaN,9630,97,NaN,NaN,2,322,4,NaN,70800,2,NaN,0,2360,NaN,35,1,0,138,NaN,231786,169,1,44451,NaN,360,153,NaN,44,100,NaN,6,0,0,0
8,1081,40,NaN,NaN,2000,NaN,NaN,NaN,11600,704,23,NaN,165,0,5,12,9100,NaN,1785,91,70,NaN,12,20,NaN,52,NaN,NaN,86,NaN,35,732,51,NaN,NaN,NaN,44,NaN,12306,139,9,NaN,2,336,NaN,NaN,69000,3,NaN,NaN,1971,NaN,7,0,NaN,64,NaN,167262,122,0,21724,NaN,100,214,NaN,8,93,NaN,5,NaN,NaN,1
8,130,22,2,NaN,10000,0,NaN,0,0,161,13,0,96,2,10,12,4113,14,291,41,NaN,NaN,NaN,3,NaN,NaN,20,1,26,NaN,7,726,NaN,NaN,NaN,0,5,NaN,0,36,14,3,0,7,3,0,60000,NaN,48,NaN,8571,18,NaN,1,NaN,39,2,35998,4,1,279,185,6243,3,185,5,123,601,5,NaN,NaN,1
11,926,8165,2,0,40,0,NaN,1,25920,474,9,2,173,5,12,9,25920,6,1400,92,11,NaN,14,40,NaN,83,64,2,148,0,44,3819,11,0,0,1,95,NaN,41027,103,100,3,2,214,1,1,237000,NaN,12,0,5386,11,1267,0,0,79,2,206514,62,0,16947,1032,1212,152,1032,1360,147,497,6,0,0,1
1,838,79,24,NaN,5000,0,NaN,5,9100,186,12,2,154,4,10,12,9100,26,1024,86,90,NaN,46,25,NaN,73,100,11,199,NaN,30,710,59,NaN,NaN,7,78,NaN,23140,218,30,59,3,240,6,6,111000,NaN,26,NaN,3700,70,18,0,NaN,25,14,43520,7,0,6025,381,715,233,381,13,42,1697,5,NaN,NaN,0
2,551,115,3,NaN,3000,0,NaN,2,19090,458,13,2,153,5,20,12,22320,4,1009,89,19,NaN,0,15,NaN,89,100,3,44,NaN,7,779,19,NaN,NaN,2,25,NaN,28998,48,32,3,2,65,3,2,59000,NaN,37,NaN,8428,4,19,0,NaN,47,3,85726,6,0,3078,260,3363,59,866,23,84,148,5,NaN,NaN,0
5,487,566,3,0,10000,0,NaN,0,10669,696,28,2,140,NaN,14,28,9820,4,1183,88,4,NaN,0,15,NaN,28,100,2,20,0,10,0,2,0,0,0,46,NaN,10403,36,5,3,2,57,5,0,22790,NaN,69,0,2279,4,48,1,0,80,3,64643,29,1,4613,151,1843,28,193,94,54,3,5,0,0,1
5,1689,274,17,0,NaN,0,NaN,2,30000,1026,8,2,153,NaN,12,14,NaN,19,2716,91,33,NaN,18,34,NaN,64,96,9,167,0,0,NaN,17,0,0,4,251,NaN,24719,252,89,25,3,75,2,3,NaN,13,7,0,NaN,31,215,0,0,75,12,208126,40,1,5676,745,NaN,35,745,45,76,1721,6,0,0,1
9,900,5681,20,0,10000,0,NaN,3,9075,759,20,1,178,2,20,20,9075,22,1659,91,NaN,NaN,NaN,38,NaN,NaN,47,18,99,0,12,440,NaN,0,0,12,90,NaN,9882,96,44,52,2,281,3,4,64500,NaN,37,0,5375,64,2095,0,0,60,18,90963,92,0,16990,170,1477,189,170,946,54,62,6,0,0,0
10,1348,167,6,0,10000,0,NaN,0,37660,1121,18,2,176,3,16,18,0,8,2469,92,NaN,NaN,NaN,64,NaN,80,100,2,149,0,14,8264,NaN,0,0,2,203,NaN,38188,152,52,11,3,364,3,0,124000,NaN,14,0,8857,14,38,0,0,46,6,127641,147,0,16857,259,1736,217,259,27,51,1120,5,0,0,0
NaN,1271,1459,14,0,10000,0,NaN,3,9604,1416,10,1,171,2,NaN,10,9604,16,2953,91,NaN,NaN,NaN,18,NaN,NaN,49,8,NaN,0,22,1078,NaN,0,0,8,75,NaN,13455,79,11,22,2,343,4,3,82500,NaN,19,0,3750,31,302,1,0,67,14,183143,143,0,23051,215,2720,176,215,243,62,271,6,0,0,1
3,2919,132,16,0,20000,0,NaN,2,10600,1906,23,2,170,NaN,11,23,10320,17,4825,92,23,NaN,16,109,NaN,93,100,8,417,0,5,NaN,11,0,0,6,136,NaN,10362,310,NaN,34,3,788,7,2,70000,NaN,16,0,14000,36,26,0,0,91,10,354108,264,0,72293,755,13230,524,755,22,73,467,6,0,0,0
11,654,427,29,0,10000,0,NaN,6,0,411,18,0,176,4,17,18,16810,33,1065,90,NaN,NaN,NaN,43,NaN,NaN,36,16,15,0,22,6501,NaN,0,0,8,127,NaN,19240,70,61,106,2,180,6,8,164600,NaN,7,0,7481,117,62,0,0,72,24,101460,54,0,13121,497,-8861,126,497,71,95,2036,6,0,0,1
4,992,1084,6,0,998,0,NaN,1,4070,419,22,2,153,3,10,22,4070,6,1412,89,4,NaN,2,11,NaN,69,100,3,83,0,51,4067,4,0,0,2,82,NaN,9236,79,35,8,2,16,3,1,56000,NaN,56,0,1098,8,14,0,0,62,6,97197,4,0,999,284,45,12,284,180,68,31,6,0,0,0
7,784,11410,5,0,10,0,NaN,0,11238,511,9,2,164,4,19,9,11238,5,1295,92,NaN,NaN,NaN,57,NaN,NaN,79,4,145,0,32,1395,NaN,0,0,0,166,NaN,23344,143,46,5,2,110,2,0,134000,NaN,34,0,4187,5,1096,0,0,74,4,76982,45,0,8151,67,1905,65,67,1901,59,260,6,0,0,1
NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,4,0,NaN,NaN,38,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,398,NaN,NaN,398,NaN,NaN,862,NaN,NaN,NaN,0
9,392,81,3,NaN,10000,0,NaN,2,11600,154,16,1,134,4,8,16,11600,7,546,70,NaN,NaN,NaN,2,NaN,49,30,3,19,NaN,10,671,NaN,NaN,NaN,2,39,NaN,11300,58,44,5,0,16,2,2,64000,NaN,37,NaN,6400,11,3,0,NaN,49,3,31158,9,1,784,220,-5814,7,220,13,57,283,5,NaN,NaN,0
